buggyCode,correctedCode
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int ti;
	float tax;
	if(ti<=200000)
	tax=0;
	else if((ti>200000)&&(ti<=500000))
	tax=0.1*ti;
	else if((ti>500000)&&(ti<=1000000))
	tax=30000+0.2*ti
	else
	tax=130000+0.3*ti;
	printf(""%0.2f"",tax);
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int ti;
	float tax;
	if(ti<=200000)
	tax=0;
	else if((ti>200000)&&(ti<=500000))
	tax=0.1*ti;
	else if((ti>500000)&&(ti<=1000000))
	tax=30000+0.2*ti;
	else
	tax=130000+0.3*ti;
	printf(""%0.2f"",tax);
	return 0;
}"
"#include <stdio.h>
#include <math.h>
int main() {
	int a,b ,c ;
	scanf(""%d%d%d"",&a,&b,&c);
	if(a+b>c){
	    printf(""Can form a Triangle )"";
	}else{printf(""Cannot form a Triangle \n"")}
	if(a*a+b*b<c*c){
	    printf(""Obtuse Triangle \n"");
	}
	 else {printf(""Not Obtuse Triangle \n"")   
	return 0;
}","#include <stdio.h>
#include <math.h>
int main() {
	int a,b ,c ;
	scanf(""%d%d%d"",&a,&b,&c);
	if(a+b>c){
	    printf(""Can form a Triangle \n "");
	}
	else{printf(""Cannot form a Triangle \n"");}
	if(a*a+b*b<c*c){
	    printf(""Obtuse Triangle \n"");
	}
	 else {printf(""Not Obtuse Triangle \n""); }  
	return 0;
}"
"# include <stdio.h>
int main()
{
    int x,y;
    scanf(""%d"",&x);
    int a[x];
    for(int i=0;i<x;i++)
    {
        scanf(""%d"",&a[i]);
    }
    scanf(""%d"",&y);
    int b[y];
    for(int i=0;i<y;i++)
    {
        scanf(""%d"",&b[i]);
    }
    for(int j=0;j<x;j++)
    {
        for(int k=0;k<y;k++)
        {
            if(a[j]=b[k])&&a[j+1]=b[k+1])
            printf(""YES"");
            return 0;
        }
    }
    if(j=x-1) printf(""NO"");
    return 0;
    
}","# include <stdio.h>
int main()
{
    int x,y,j;
    scanf(""%d"",&x);
    int a[x];
    for(int i=0;i<x;i++)
    {
        scanf(""%d"",&a[i]);
    }
    scanf(""%d"",&y);
    int b[y];
    for(int i=0;i<y;i++)
    {
        scanf(""%d"",&b[i]);
    }
    for(j=0;j<x-1;j++)
    {
        for(int k=0;k<y-1;k++)
        {
            if((a[j]==b[k])&&a[j+1]==b[k+1])
            {
            printf(""YES"");
            return 0;
            }
        }
    }
    if(j==x-1) printf(""NO"");
    return 0;
}"
"#include <stdio.h>

int main(){
    int n,p,i,j;
    scanf(""%d"",&n);
    for(i=1;i<=n;i++){
        for(j=1;j<=n;j++){
            scanf(""%d "",&p);
            b=b+((i==j&&p==1)||(i!=j&&p==0));
        }
    }
    if(b==n*n)
    printf(""ID"");
    else
    printf(""non ID"");
    return 0;
}","#include <stdio.h>
int main(){
    int n,p,i,j;
    scanf(""%d"",&n);
    for(i=1;i<=n;i++){
        for(j=1;j<=n;j++){
            scanf(""%d "",&p);
        }
    }
    if((i==j&&p==1)||(i!=j&&p==0))
    printf(""ID"");
    else
    printf(""non ID"");
    return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int n,m,a,b;
	scanf(""%d%d%d%d"",&n,&m,&a,&b);
	int *sol=(int*)malloc(n*sizeof(int));
	int *vest=(int*)malloc(m*sizeof(int));
	int i=0,j=0;
	for(i=0;i<n;i++)
	{
	    scanf(""%d"",&sol[i]);
	}
	for(j=0;j<m;j++)
	{
	    scanf(""%d"",&vest[j]);
	}
	i=0;j=0;
	while(i<n||j<m)
	{
	    if(*(vest+j)<=*(sol+i)+b && *(vest+j)>=*(sol+i-a)
	    {i++;
	        printf(""%d %d"",i+1,j+1);
        }
	    j++;
	}
	free(vest);
	free(sol);
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int n,m,a,b;
	scanf(""%d%d%d%d"",&n,&m,&a,&b);
	int *sol=(int*)malloc(n*sizeof(int));
	int *vest=(int*)malloc(m*sizeof(int));
	int i=0,j=0;
	for(i=0;i<n;i++)
	{
	    scanf(""%d"",&sol[i]);
	}
	for(j=0;j<m;j++)
	{
	    scanf(""%d"",&vest[j]);
	}
	i=0;j=0;
	while(i<n&&j<m)
	{
	    if(vest[j]<=sol[i]+b && vest[j]>=sol[i]-a)
	    {i++;
	        printf(""%d %d\n"",i+1,j+1);
        }
	    j++;
	}
	free(vest);
	free(sol);
	return 0;
}"
"#include <stdio.h>

int main() {
	int n1,n2;
	int a1[n1],a2[n2];
	int i;
	scanf(""%d"",&n1);
	for(i=0;i<n1;i++)
	{
	    scanf(""%d"",&a1[i]);
	}
	scanf(""%d"",&n2);
	for(i=0;i<n2;i++)
	{
	    scanf(""5d"",a2[i]);
	}
	if(n2<=n1)
	{
	    for(i=0;i<n1;i++)
	    {
	        for(j=0;j<n2;j++)
	        {
	            if(a1[i]==a2[j])
	            {
	                for(k=1;k<n2;k++)
	                {
	                    if(a1[i+k]=a2[j+k])
	                    continue;
	                }
	                printf(""YES"");
	            }
	            else 
	            continue;
	        }
	    }
	}
	else 
	printf(""NO\n"");
	return 0;
}","#include <stdio.h>
int main() {
	int n1,n2;
	int a1[20],a2[20];
	int i,j,k;
	scanf(""%d\n"",&n1);
	for(i=0;i<n1;i++)
	{
	    scanf(""%d\n"",&a1[i]);
	}
	scanf(""%d\n"",&n2);
	for(i=0;i<n2;i++)
	{
	    scanf(""%d\n"",&a2[i]);
	}
	if(n2<=n1)
	{
	    for(i=0;i<n1;i++)
	    {
	        for(j=0;j<n2;j++)
	        {
	            if(a1[i]==a2[j])
	            {
	                for(k=1;k<n2;k++)
	                {
	                    if(a1[i+k]==a2[j+k])
	                    continue;
	                }
	                printf(""YES"");
	            }
	            else 
	            continue;
	        }
	    }
	}
	else 
	printf(""NO\n"");
	return 0;
}"
"#include <stdio.h>

int main()
{
    int n,m,i,k;
    scanf(""%d"",&n,&m)
    int gold[m];
    for(k=0;k<m;k++)
    {
        gold[k]=0;
    }
    for(k=0;k<n;k++)
    {
        for(j=0;j<m;j++)
        {
            scanf(""%d"",&i);
            gold[j]=gold[j]+i;
        }
    }
    for(k=0;k<m;k++)
    {
        for(j=0;j<m;j++)
        if(gold[j]<=gold[k])
        gold[j]=gold[k];
    }
    printf(""%d"",gold[0]);
     return 0;
}","#include <stdio.h>
int main()
{
    int n,m,i,k,j;
    scanf(""%d"",&n,&m);
    int gold[m];
    for(k=0;k<m;k++)
    {
        gold[k]=0;
    }
    for(k=0;k<n;k++)
    {
        for(j=0;j<m;j++)
        {
            scanf(""%d"",&i);
            gold[j]=gold[j]+i;
        }
    }
    for(k=0;k<m;k++)
    {
        for(j=0;j<m;j++)
        if(gold[j]<=gold[k])
        gold[j]=gold[k];
    }
    printf(""%d"",gold[0]);
     return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	int n,i;
	int a[n];
	for(i=0;i<n;i++){
	scanf(""%d"",&a[i]);}
	int j,k;
	int sum=0;
	for(j=1;j<n;j++){
	    if(a[n]%j==0){
	        sum=sum+j;
	    }
	}
	}
	printf(""%d"",sum);
	if(sum==a[n]){
	    printf(""Yes"");
	}
	else{
	    printf(""No"");
	}
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	int n,i;
	int a[n];
	for(i=0;i<n;i++){
	scanf(""%d"",&a[i]);}
	int j,k;
	int sum=0;
	for(j=1;j<n;j++){
	    if(a[n]%j==0){
	        sum=sum+j;
	    }
	}
	printf(""%d"",sum);
	if(sum==a[n]){
	    printf(""Yes"");
	}
	else{
	    printf(""No"");
	}
	return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	        int  i,n,gap;
	        scanf(""%d"",&n);
	        for(gap=2;gap>=1;gap=gap-1)
	        {
	            printf("")
	        } 
	        for(j=1;j<=n+1;j=j+2){
	        for(i=1;i<=j;i=i+1)
	        if(i%2==0)
	        {
	            printf(""x"");
	        }
	        else
	        {
	            printf(""*"");
	        }
	        }
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	        int  i,n,gap,j;
	        scanf(""%d"",&n);
	        for(gap=2;gap>=1;gap=gap-1)
	        {
	            printf("" "");
	        } 
	        for(j=1;j<=n+1;j=j+2){
	        for(i=1;i<=j;i=i+1)
	        if(i%2==0)
	        {
	            printf(""x"");
	        }
	        else
	        {
	            printf(""*"");
	        }
	        }
	return 0;
}"
"#include<stdio.h>
int main()
{
    int i,n,a[20],j,count,max;
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    {
        scanf(""%d"",&a[i]);
    }
    for(i=0;i<n;i++)
    {
        count=0;
        for(j=i;j<n;j++)
        {
            if(a[j]>a[i])
            count++;
        }
            
    }
    b[i]=count;
    max=b[0];
    for(i=1;i<n;i++)
    {
        if(max<a[i])
        a[i]=max;
    }
    printf(""%d"",max);
    

    return 0;
}","#include<stdio.h>
int main()
{
    int i,n,a[20],j,count,max,b[20];
    scanf(""%d"",&n);
    for(i=0;i<n;i++)
    {
        scanf(""%d"",&a[i]);
    }
    for(i=0;i<n;i++)
    {
        count=1;
        for(j=i;j<n;j++)
        {
            if(a[j]>a[i])
            count++;
        }
    }
    b[i]=count;
    max=b[0];
    for(i=1;i<n;i++)
    {
        if(max<a[i])
        a[i]=max;
    }
    printf(""%d"",max);
    return 0;
}"
"#include <stdio.h>
#include <stdlib.h>

int main() {


    int p[100],n,a[1001];
    int k,i,j,l,sum=0;
    scanf(""%d\n"",&n);
    for(i=0;i<n;i++)
    scanf(""%d"",&a[i]);
    for(j=0;j<n;j++)
    {
        p[j]=0;
        for(k=j+1;k<n;k++)
        {   
            
            if(a[j]>a[k])
            {
                p[j]=p[j]+1;
                sum=sum+p[j];
                
            }
        
        
    }
    printf(""%d\n"",sum);
    for(l=0;l<n;l++)
    {
        printf(""%d "",p[l]);
    }
    return 0;

}","#include <stdio.h>
#include <stdlib.h>
int main() {
    int p[100],n,a[1001];
    int k,i,j,l,sum=0;
    scanf(""%d\n"",&n);
    for(i=0;i<n;i++)
    scanf(""%d"",&a[i]);
    for(j=0;j<n;j++)
    {
        p[j]=0;
        for(k=j+1;k<n;k++)
        {   
            if(a[j]>a[k])
            {
                p[j]=p[j]+1;
                sum=sum+p[j];
            }
        }
    }
    printf(""%d\n"",sum);
    for(l=0;l<n;l++)
    {
        printf(""%d "",p[l]);
    }
    return 0;
}"
"#include <stdio.h>

int main(){
    int a,b,c,e,g,sum,y;
    scanf(""%d"",&a);
    b=a%10;
    c=(a%100)/10;
    e=(a%1000)/100;
    g=(a/1000);
    sum=b+c+e+g;
    for(y=2016; ;y=y+1){
        if(y%sum==0){
            break;}
    }
    printf(""%d"",y)
    return 0;
}","#include <stdio.h>
int main(){
    int a,b,c,e,g,sum,y;
    scanf(""%d"",&a);
    b=a%10;
    c=(a%100)/10;
    e=(a%1000)/100;
    g=(a/1000);
    sum=b+c+e+g;
    for(y=2016; ;y=y+1){
        if(y%sum==0){
            break;}
    }
    printf(""%d"",y);
    return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
     int n;
     scanf(""%d\n"",&n);
     int A[n];
     int i;
     for (i=0;i<n;i++)
     {
         scanf(""%d\n"",&A[i]);
     }
     int t;
     scanf(""%d\n"",&t);
     int B[t];
     int j;
     for (j=0;j<t;j++)
     {
         scanf(""%d\n"",&B[j]);
     }
     int k,l;
     for (l=0;l<t;l++)
     {
         k=B[l];
         if (((k>0)&&((k<t-1)))
         {
             if ((A[k]>A[k-1])&&(A[k]>A[k+1])) 
                printf (""Yes\n"");
            else 
                printf (""No\n"");
         }
        else if (k==0)
        {
            if (A[0]>A[1])
                printf (""Yes\n"");
            else
                printf (""No\n"");
        }
        else
        {   
            if (A[k]>A[k-1]) 
                printf (""Yes\n"");
            else 
                printf (""No\n"");
        }   
     }
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
     int n;
     scanf(""%d\n"",&n);
     int A[n];
     int i;
     for (i=0;i<n;i++)
     {
         scanf(""%d\n"",&A[i]);
     }
     int t;
     scanf(""%d\n"",&t);
     int B[t];
     int j;
     for (j=0;j<t;j++)
     {
         scanf(""%d\n"",&B[j]);
     }
     int k,l;
     for (l=0;l<t;l++)
     {
         k=B[l];
         if (((k>0)&&((k<t-1))))
         {
             if ((A[k]>A[k-1])&&(A[k]>A[k+1])) 
                printf (""Yes\n"");
            else 
                printf (""No\n"");
         }
        else if (k==0)
        {
            if (A[0]>A[1])
                printf (""Yes\n"");
            else
                printf (""No\n"");
        }
        else
        {   
            if (A[k]>A[k-1]) 
                printf (""Yes\n"");
            else 
                printf (""No\n"");
        }   
     }
	return 0;
}"
"#include<stdio.h>
int main()
{
    int i,j,m,k,v,p=0,n;
    scanf(""%d"",&n);
    scanf(""%d"",&k)
    int a[100];
    for(i=0;i<n;i++){
        scanf(""%d"",&v);
        a[i]=v;
    }
    for(t=0;t<n;t++){
        for(j=t;j<t+k;j++){
           for(m=j+1;m<n;k++){
                    if(a[j]>a[m]){
                        p=p+1;
                }
            
            }
        }
        if(p>l)l=p;
    }    
    printf(""%d"",p);
    return 0;           
}","#include<stdio.h>
int main()
{
    int i,j,m,k,v,l=0,t,p=0,n;
    scanf(""%d"",&n);
    scanf(""%d"",&k);
    int a[100];
    for(i=0;i<n;i++){
        scanf(""%d"",&v);
        a[i]=v;
    }
    for(t=0;t<n;t++){
        for(j=t;j<t+k;j++){
           for(m=j+1;m<n;k++){
                    if(a[j]>a[m]){
                        p=p+1;
                }
            }
        }
        if(p>l)l=p;
    }    
    printf(""%d"",p);
    return 0;           
}"
"#include <stdio.h>

int main()
{
  int n,d,i,j;
  scanf(""%d,&n);
  int s[n];
  int p[n];
  for(i=0;i<n;i++)
  {
      scanf(""%d"",&a);
      s[i]=a;
      
  }
   scanf(""%d"",d);   
  for(j=0;j<n;j++)
    {
      p[j]=s[d+j+1];
      printf(""%d"",p[j]);
    }
  }
    return 0;
    
}","#include <stdio.h>
int main()
{
  int n,d,i,j,a;
  scanf(""%d"",&n);
  int s[n];
  int p[n];
  for(i=0;i<n;i++)
  {
      scanf(""%d"",&a);
      s[i]=a;
  }
   scanf(""%d"",d);   
  for(j=0;j<n;j++)
    {
      p[j]=s[d+j+1];
      printf(""%d"",p[j]);
    }
    return 0;
}"
"#include <stdio.h>

int main()
{
    int n,m,i,j,g,max=0;
    scanf(""%d"",&n);
    scanf(""%d"",&m);
    for(i=1;i<=n;i++)
    {   s=0;
        for(j=1,j<=m;j++)
        {
            scanf(""%d"",&g);
            s=s+g;
        }
        if(s>max)
            max=s;
    }
    printf(""%d"",max);
    return 0;
}","#include <stdio.h>
int main()
{
    int n,m,i,j,g,max=0,s;  //s is sum of gold in each door
    scanf(""%d"",&n);         //n is number of doors
    scanf(""%d"",&m);         //m is number of heaps in each door
    for(i=1;i<=n;i++)
    {   s=0;                //after each door s is again set to 0
        for(j=1;j<=m;j++)
        {
            scanf(""%d"",&g);
            s=s+g;          //g is the gold in each heap
        }//max stores the maximum amount of gold in each door
        if(s>max)
            max=s;
    }
    printf(""%d"",max);       //the max gold is max
    return 0;               //returning to OS
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	long int n, i, j=0,ans_freq, ans_loc;
	long int arr[10000], count[10000];
	count[0]=1;
	scanf(""%ld"", &n);
	for(i=0;i<n;i++)
	{scanf(""%ld"", &arr[i]);}
	for(i=1;i<n;i++)
	{
	    if(arr[i]==arr[i-1])
	    count[j]=count[j]+1;
	    else
	    {
	        j=j+1;
	        count[j]=count[j]+1;
	    }
	}
	ans_freq=count[9999];
	for(i=9999;i>=0;i--)
	{
	    if(count[i]>ans_freq)
	    {
	        ans_loc=0;
	        ans_freq=count[i];
	        for(j=0;j<i;j++)
	        {
	            ans_loc=ans_loc+count[j];
	        }
	    }
	}
	ans=arr[ans_loc];
	printf(""%d"", 1);
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	long int n, i, j=0,ans_freq, ans_loc, ans;
	long int arr[10000], count[10000];
	count[0]=1;
	scanf(""%ld"", &n);
	for(i=0;i<n;i++)
	{scanf(""%ld"", &arr[i]);}
	for(i=1;i<n;i++)
	{
	    if(arr[i]==arr[i-1])
	    count[j]=count[j]+1;
	    else
	    {
	        j=j+1;
	        count[j]=count[j]+1;
	    }
	}
	ans_freq=count[9999];
	for(i=9999;i>=0;i--)
	{
	    if(count[i]>ans_freq)
	    {
	        ans_loc=0;
	        ans_freq=count[i];
	        for(j=0;j<i;j++)
	        {
	            ans_loc=ans_loc+count[j];
	        }
	    }
	    else
	    continue;
	}
	printf(""%ld"", ans);
	return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
int am;
float ti;
scanf(""%d"",&am);
if(am<=200000)
ti=0;
else
if(am>=200001&&am<=500000)
ti=(10.0/100)*200000;
else
if(am>=500001&&am<=1000000)
ti =30000+(20.0/100)*500000;
else
(am>1000000)
ti=130000+(30.0/100)*1000000)
printf(""%f"",ti);","#include <stdio.h>
#include <stdlib.h>
int main() {
int am;
float ti;
scanf(""%d"",&am);
if(am<=200000)
ti=0;
else
if(am>=200001&&am<=500000)
ti=(10.0/100)*200000;
else
if(am>=500001&&am<=1000000)
ti =30000+(20.0/100)*500000;
else
ti=130000+0.3*1000000;
printf(""%f"",ti);
return 0;
}"
"#include <stdio.h>
#include <stdlib.h>
int main() {
	long n,rev=0;
	scanf(""%ld"",&n);
	while(n>0)           
	{
	    sum=n%10;
	    rev=rev*10+sum;
        n=n/10;
	}
	if(rev==n)
	{
	    printf(""YES"");
	}
	else
	{
	    printf(""NO"");
	}
	return 0;
}","#include <stdio.h>
#include <stdlib.h>
int main() {
	long n,rev=0,sum=0;
	scanf(""%ld"",&n);
	while(n>0)           
	{
	    sum=n%10;
	    rev=rev*10+sum;
        n=n/10;
	}
	if(rev==n)
	{
	    printf(""YES"");
	}
	else
	{
	    printf(""NO"");
	}
	return 0;
}"
"#include <stdio.h>

int main(){
    
    int n,a1,a2,i,t1,t2;
     scanf(""%d%d%d"",&n,&a1,&a2);
    int sum=a1+a2;
    if(n==1){printf(""%d"",a1);}
    else if(n==2){printf(""%d"",a2);}
    for(i=3;i<=n;i++;)
    {
        sum=sum-2;
    
        
    }
    printf(""%d"",sum);
     return 0;
}","#include <stdio.h>
int main(){
    int n,a1,a2,i,t1,t2;
     scanf(""%d%d%d"",&n,&a1,&a2);
    int sum=a1+a2;
    if(n==1){printf(""%d"",a1);}
    else if(n==2){printf(""%d"",a2);}
    for(i=3;i<=n;i++);
    {
        sum=sum-2;
    }
    printf(""%d"",sum);
     return 0;
}"
